ID de la orden;Fecha de la compra;ID del cliente;Género del cliente;Edad del cliente;Categoría del producto;Nombre del producto;Precio del producto;Cantidad comprada;Total de la orden;Método de pago;Región de envío
10001;2025-04-27;2687;;;Pantalones;Jeans slim;158.02;1;158.02;Efectivo;Ciudad
10002;2025-04-24;2837;;;Accesorios;Bolso de mano;29.15;5;145.75;Transferencia;Occidente
10003;2025-05-02;1328;;;Zapatos;Sandalias;59.83;3;179.49;Efectivo;Occidente
10004;2025-04-10;1487;;;Vestidos;Vestido casual;45.1;3;135.3;Tarjeta de crédito;Norte
10005;2025-05-15;1634;;;Camisetas;Camiseta básica;160.8;2;321.6;Contra entrega;Sur
10006;2025-01-18;1064;;;Pantalones;Jogger;58.92;1;58.92;Tarjeta de débito;Occidente
10007;2025-07-13;1500;;;Camisetas;Camiseta deportiva;109.08;5;545.4;Transferencia;Oriente
10008;2025-07-02;2411;;;Camisetas;Camiseta estampada;160.49;3;481.47;Tarjeta de débito;Ciudad
10009;2025-01-18;2062;;;Zapatos;Zapatos de vestir;109.35;5;546.75;Contra entrega;Ciudad
10010;2025-02-01;1306;;;Zapatos;Zapatillas deportivas;12.11;1;12.11;Tarjeta de crédito;Norte
10011;2025-02-17;1066;;;Camisetas;Camiseta estampada;127.49;4;509.96;Tarjeta de crédito;Occidente
10012;2025-05-20;2396;;;Camisetas;Camiseta estampada;52.27;3;156.81;Tarjeta de crédito;Oriente
10013;2025-02-12;2058;;;Chaquetas;Chaqueta deportiva;91.3;2;182.6;Transferencia;Oriente
10014;2025-06-09;1294;;;Camisetas;Camiseta básica;183.99;1;183.99;Tarjeta de débito;Sur
10015;2025-08-01;1979;;;Chaquetas;Chaqueta de cuero;77.37;1;77.37;Tarjeta de crédito;Ciudad
10016;2025-07-14;1839;;;Accesorios;Reloj;159.23;5;796.15;Tarjeta de crédito;Sur
10017;2025-02-15;2947;;;Zapatos;Zapatos de vestir;56.33;4;225.32;Tarjeta de crédito;Ciudad
10018;2025-03-06;2122;;;Accesorios;Gorra;107.66;4;430.64;Tarjeta de crédito;Norte
10019;2025-05-18;2937;;;Vestidos;Vestido de verano;117.54;4;470.16;Tarjeta de crédito;Ciudad
10020;2025-01-05;1147;;;Pantalones;Pantalón formal;70.9;1;70.9;Tarjeta de débito;Norte
10021;2025-05-26;2753;;;Zapatos;Sandalias;194.48;4;777.92;Tarjeta de crédito;Oriente
10022;2025-05-20;1841;;;Zapatos;Sandalias;86.9;4;347.6;Efectivo;Oriente
10023;2025-02-21;1976;;;Camisetas;Camiseta básica;11.47;4;45.88;Tarjeta de crédito;Oriente
10024;2025-05-23;2998;;;Camisetas;Camiseta deportiva;10.51;4;42.04;Contra entrega;Norte
10025;2025-02-01;1271;;;Accesorios;Gorra;87.42;2;174.84;Tarjeta de crédito;Ciudad
10026;2025-06-11;1613;;;Camisetas;Camiseta deportiva;83.53;3;250.59;Contra entrega;Oriente
10027;2025-04-28;2962;;;Chaquetas;Abrigo;163.87;2;327.74;Contra entrega;Occidente
10028;2025-04-11;2015;;;Accesorios;Gorra;175.04;2;350.08;Transferencia;Occidente
10029;2025-05-12;2728;;;Camisetas;Camiseta estampada;146.44;2;292.88;Transferencia;Norte
10030;2025-01-05;2665;;;Chaquetas;Chaqueta deportiva;175.47;3;526.41;Contra entrega;Sur
10031;2025-04-11;1645;;;Chaquetas;Chaqueta de cuero;52.17;3;156.51;Transferencia;Oriente
10032;2025-04-01;2380;;;Pantalones;Jogger;49.33;3;147.99;Efectivo;Oriente
10033;2025-01-03;2865;;;Chaquetas;Abrigo;106.64;4;426.56;Efectivo;Sur
10034;2025-08-25;1263;;;Vestidos;Vestido de verano;125.45;1;125.45;Contra entrega;Sur
10035;2025-07-28;1508;;;Camisetas;Camiseta básica;129.65;2;259.3;Tarjeta de crédito;Norte
10036;2025-01-03;2092;;;Camisetas;Camiseta básica;166.22;4;664.88;Tarjeta de débito;Ciudad
10037;2025-07-25;2337;;;Pantalones;Jeans slim;129.39;3;388.17;Tarjeta de débito;Sur
10038;2025-01-18;1514;;;Zapatos;Zapatos de vestir;22.73;3;68.19;Tarjeta de crédito;Ciudad
10039;2025-04-28;1386;;;Accesorios;Bolso de mano;162.7;2;325.4;Efectivo;Norte
10040;2025-01-23;2313;;;Camisetas;Camiseta estampada;133.21;2;266.42;Tarjeta de crédito;Oriente
10041;2025-05-09;2305;;;Zapatos;Sandalias;180.35;5;901.75;Tarjeta de débito;Norte
10042;2025-04-16;1139;;;Chaquetas;Chaqueta de cuero;67.27;1;67.27;Transferencia;Ciudad
10043;2025-04-27;2715;;;Zapatos;Zapatos de vestir;124.13;5;620.65;Transferencia;Ciudad
10044;2025-08-19;2042;;;Zapatos;Zapatillas deportivas;162.42;3;487.26;Contra entrega;Norte
10045;2025-03-02;2400;;;Chaquetas;Chaqueta deportiva;151.47;5;757.35;Tarjeta de crédito;Norte
